"DisplayCategory","ProductHeaderCode","ProductHeader","PHOrder","effective_date","price","sale_location_code","SaleLoc","RowError","RowState","Table","ItemArray","HasErrors","SideIndicator","SourceFile"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","22","*Audit & Testing CAD","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","1041","D: Corporate Sales and Services CAD","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","2025","D: CSS Qualfon CAD (S/R/C)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4946","WB: Adventure Zone (S/C)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4910","WB: ATS (S/C)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4822","WB: Blackcomb Primary (S)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4824","WB: Creekside Primary (S)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4911","WB: Events Dept (S/R/C)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4723","WB: Guest Relations BL Base 2 (S/C)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4722","WB: Guest Relations BL Daylodge (S/R/C)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4719","WB: Guest Relations CR (S/R/C)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4720","WB: Guest Relations WH Village (S/R/C)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4891","WB: Inntopia/Primary (I/S/C)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
"SS: WB Private WEB","102933","WB Ski FD Private -FR","1010","02/18/2024 12:00:00 AM","1289","4919","WB: Pass Admin (S/C)","","Unchanged","","System.Object[]","False","<=","2024-02-15-PrivateRateIncrease.xlsx"
