"DisplayCategory","ProductHeaderCode","ProductHeader","PHOrder","effective_date","expiration_date","price","RowError","RowState","Table","ItemArray","HasErrors","SideIndicator","SourceFile"
"Act: Scenic WU/ADV","103372","WB 1D AD Winter S/See WU","225","04/15/2024 12:00:00 AM","05/20/2024 12:00:00 AM","90","","Unchanged","","System.Object[]","False","=>","2024-01-28-PrivateRateIncrease.xlsx"
"Act: Scenic WU/ADV","103372","WB 1D AD Winter S/See WU","225","04/15/2024 12:00:00 AM","05/20/2024 12:00:00 AM","84","","Unchanged","","System.Object[]","False","<=","2024-01-27-PrivateRateIncrease.xlsx"
