"DisplayCategory","ProductHeaderCode","ProductHeader","PHOrder","effective_date","price","RowError","RowState","Table","ItemArray","HasErrors","SideIndicator","SourceFile"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/22/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/23/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/24/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/25/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/26/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/27/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/28/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/29/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","11/30/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
"SS: BC Private ADV/WEB-ASR","148700","BC Ski FD Private -ADV","2001","12/01/2023 12:00:00 AM","1200","","Unchanged","","System.Object[]","False","=>","2024-01-30-PrivateRateIncrease.xlsx"
